Crop,State,Season,Area - 1966-67,Area - 1967-68,Area - 1968-69,Area - 1969-70,Area - 1970-71,Area - 1971-72,Area - 1972-73,Area - 1973-74,Area - 1974-75,Area - 1975-76,Area - 1976-77,Area - 1977-78,Area - 1978-79,Area - 1979-80,Area - 1980-81,Area - 1981-82,Area - 1982-83,Area - 1983-84,Area - 1984-85,Area - 1985-86,Area - 1986-87,Area - 1987-88,Area - 1988-89,Area - 1989-90,Area - 1990-91,Area - 1991-92,Area - 1992-93,Area - 1993-94,Area - 1994-95,Area - 1995-96,Area - 1996-97,Area - 1997-98,Area - 1998-99,Area - 1999-00,Area - 2000-01,Area - 2001-02,Area - 2002-03,Area - 2003-04,Area - 2004-05,Area - 2005-06,Area - 2006-07,Area - 2007-08,Area - 2008-09,Area - 2009-10,Area - 2010-11,Area - 2011-12,Area - 2012-13,Area - 2013-14,Area - 2014-15,Area - 2015-16,Area - 2016-17,Area - 2017-18,Area - 2018-19,Area - 2019-20,Area - 2020-21,Area - 2021-22,Area - 2022-23,Area - 2023-24,Area - 2024-25,Production - 1966-67,Production - 1967-68,Production - 1968-69,Production - 1969-70,Production - 1970-71,Production - 1971-72,Production - 1972-73,Production - 1973-74,Production - 1974-75,Production - 1975-76,Production - 1976-77,Production - 1977-78,Production - 1978-79,Production - 1979-80,Production - 1980-81,Production - 1981-82,Production - 1982-83,Production - 1983-84,Production - 1984-85,Production - 1985-86,Production - 1986-87,Production - 1987-88,Production - 1988-89,Production - 1989-90,Production - 1990-91,Production - 1991-92,Production - 1992-93,Production - 1993-94,Production - 1994-95,Production - 1995-96,Production - 1996-97,Production - 1997-98,Production - 1998-99,Production - 1999-00,Production - 2000-01,Production - 2001-02,Production - 2002-03,Production - 2003-04,Production - 2004-05,Production - 2005-06,Production - 2006-07,Production - 2007-08,Production - 2008-09,Production - 2009-10,Production - 2010-11,Production - 2011-12,Production - 2012-13,Production - 2013-14,Production - 2014-15,Production - 2015-16,Production - 2016-17,Production - 2017-18,Production - 2018-19,Production - 2019-20,Production - 2020-21,Production - 2021-22,Production - 2022-23,Production - 2023-24,Production - 2024-25,Yield - 1966-67,Yield - 1967-68,Yield - 1968-69,Yield - 1969-70,Yield - 1970-71,Yield - 1971-72,Yield - 1972-73,Yield - 1973-74,Yield - 1974-75,Yield - 1975-76,Yield - 1976-77,Yield - 1977-78,Yield - 1978-79,Yield - 1979-80,Yield - 1980-81,Yield - 1981-82,Yield - 1982-83,Yield - 1983-84,Yield - 1984-85,Yield - 1985-86,Yield - 1986-87,Yield - 1987-88,Yield - 1988-89,Yield - 1989-90,Yield - 1990-91,Yield - 1991-92,Yield - 1992-93,Yield - 1993-94,Yield - 1994-95,Yield - 1995-96,Yield - 1996-97,Yield - 1997-98,Yield - 1998-99,Yield - 1999-00,Yield - 2000-01,Yield - 2001-02,Yield - 2002-03,Yield - 2003-04,Yield - 2004-05,Yield - 2005-06,Yield - 2006-07,Yield - 2007-08,Yield - 2008-09,Yield - 2009-10,Yield - 2010-11,Yield - 2011-12,Yield - 2012-13,Yield - 2013-14,Yield - 2014-15,Yield - 2015-16,Yield - 2016-17,Yield - 2017-18,Yield - 2018-19,Yield - 2019-20,Yield - 2020-21,Yield - 2021-22,Yield - 2022-23,Yield - 2023-24,Yield - 2024-25
Wheat,All India,Total,128.38,149.98,159.58,166.26,182.41,191.39,194.64,185.83,180.1,204.54,209.22,214.56,226.41,221.72,222.79,221.44,235.67,246.72,235.65,229.97,231.31,230.63,241.09,235.02,241.67,232.62,245.89,251.47,257.0,250.11,258.87,266.96,275.23,274.86,257.31,263.45,251.96,265.95,263.83,264.84,279.95,280.39,277.52,284.57,290.69,298.65,300.03,304.73,314.66,304.18,307.85,296.51,293.19,313.57,311.25,304.59,314.01,318.33,327.61,113.93,165.4,186.52,200.93,238.33,264.1,247.35,217.78,241.04,288.46,290.1,317.49,355.08,318.3,363.13,374.52,427.94,454.76,440.69,470.52,443.23,461.69,541.1,498.5,551.35,556.9,572.1,598.4,657.67,620.97,693.5,663.5,712.88,763.69,696.81,727.66,657.61,721.56,686.37,693.55,758.07,785.7,806.79,808.04,868.74,948.82,935.06,958.5,865.27,922.88,985.1,998.7,1035.96,1078.61,1095.86,1077.42,1105.54,1132.92,1175.07,887.0,1103.0,1169.0,1209.0,1307.0,1380.0,1271.0,1172.0,1338.0,1410.0,1387.0,1480.0,1568.0,1436.0,1630.0,1691.0,1816.0,1843.0,1870.0,2046.0,1916.0,2002.0,2244.0,2121.0,2281.0,2394.0,2327.0,2380.0,2559.0,2483.0,2679.0,2485.0,2590.0,2778.0,2708.0,2762.0,2610.0,2713.0,2602.0,2619.0,2708.0,2802.0,2907.0,2839.0,2989.0,3177.0,3117.0,3145.0,2750.0,3034.0,3200.0,3368.0,3533.0,3440.0,3521.0,3537.0,3521.0,3559.0,3587.0
Wheat,Andaman And Nicobar Islands,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Wheat,Andhra Pradesh,Total,0.14,0.14,0.13,0.16,0.17,0.21,0.2,0.22,0.25,0.26,0.23,0.22,0.23,0.18,0.15,0.17,0.19,0.2,0.15,0.14,0.12,0.1,0.12,0.11,0.1,0.08,0.1,0.11,0.11,0.11,0.13,0.11,0.12,0.14,0.14,0.14,0.11,0.12,0.09,0.11,0.1,0.09,0.14,0.1,0.01,0.0,0.08,0.08,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,0.03,0.03,0.04,0.1,0.11,0.1,0.14,0.18,0.22,0.14,0.12,0.13,0.1,0.06,0.12,0.13,0.14,0.08,0.07,0.05,0.05,0.1,0.09,0.09,0.07,0.08,0.06,0.08,0.08,0.09,0.06,0.06,0.09,0.08,0.09,0.14,0.07,0.05,0.09,0.09,0.08,0.16,0.1,0.01,0.0,0.01,0.04,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,201.0,196.0,236.0,248.0,609.0,512.0,495.0,621.0,714.0,817.0,594.0,550.0,556.0,564.0,391.0,669.0,699.0,714.0,513.0,514.0,403.0,510.0,798.0,787.0,900.0,819.0,760.0,532.0,764.0,729.0,720.0,545.0,500.0,667.0,571.0,643.0,1273.0,583.0,556.0,818.0,900.0,889.0,1143.0,1000.0,1000.0,0.0,125.0,500.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Wheat,Arunachal Pradesh,Total,,,,,,,,,,0.0,0.0,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.02,0.02,0.06,0.04,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,,,,,,,,,,,0.0,0.0,0.03,0.02,0.03,0.04,0.04,0.04,0.06,0.07,0.04,0.07,0.09,0.05,0.06,0.07,0.07,0.06,0.09,0.08,0.07,0.06,0.06,0.04,0.05,0.06,0.05,0.06,0.06,0.09,0.06,0.06,0.05,0.05,0.05,0.06,0.07,0.04,0.04,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.07,,,,,,,,,,,500.0,500.0,1800.0,1438.0,1444.0,1357.0,1379.0,1000.0,1743.0,1737.0,2316.0,3286.0,1525.0,1216.0,1882.0,1914.0,1889.0,1391.0,1809.0,1689.0,1587.0,1419.0,1500.0,1189.0,1308.0,1409.0,1395.0,1537.0,1500.0,2023.0,1525.0,1575.0,1472.0,1576.0,1505.0,1595.0,1757.0,1498.0,1510.0,1974.0,1969.0,1969.0,1970.0,1970.0,1970.0,1970.0,1974.0,1977.0,1974.0,
Wheat,Assam,Total,0.06,0.07,0.08,0.12,0.21,0.4,1.12,0.42,0.61,0.57,0.64,0.73,0.68,0.82,1.02,1.02,1.05,0.99,1.5,0.93,1.2,0.98,1.06,0.93,0.84,0.76,0.74,0.79,0.8,0.86,0.88,0.85,0.9,0.76,0.7,0.72,0.69,0.7,0.64,0.5,0.6,0.56,0.5,0.58,0.45,0.53,0.34,0.31,0.24,0.21,0.17,0.18,0.17,0.11,0.09,0.09,0.09,0.09,0.09,0.04,0.04,0.05,0.07,0.12,0.48,1.6,0.48,0.78,0.68,0.71,0.85,0.69,0.92,1.18,1.16,1.21,1.28,1.55,1.01,1.26,1.06,1.22,0.88,1.05,1.11,0.79,1.01,1.04,0.95,1.17,1.1,0.91,0.98,0.86,0.85,0.78,0.73,0.68,0.54,0.67,0.71,0.55,0.64,0.53,0.6,0.44,0.4,0.29,0.34,0.23,0.25,0.24,0.14,0.13,0.11,0.12,0.13,0.13,614.0,642.0,627.0,602.0,585.0,1200.0,1432.0,1156.0,1273.0,1194.0,1102.0,1154.0,1016.0,1122.0,1158.0,1130.0,1149.0,1289.0,1035.0,1082.0,1048.0,1076.0,1151.0,940.0,1248.0,1455.0,1065.0,1278.0,1290.0,1108.0,1332.0,1300.0,1010.0,1289.0,1219.0,1181.0,1130.0,1043.0,1066.0,1074.0,1117.0,1268.0,1090.0,1087.0,1179.0,1147.0,1304.0,1292.0,1216.0,1634.0,1344.0,1386.0,1398.0,1273.0,1379.0,1248.0,1322.0,1434.0,1434.0
Wheat,Bihar,Total,8.09,10.54,10.95,11.45,13.16,13.97,25.09,13.34,14.78,18.15,19.45,18.47,18.06,17.01,17.55,16.4,17.33,18.91,18.76,18.35,18.4,21.16,21.12,19.88,19.65,19.85,19.74,20.7,20.71,21.34,20.89,20.75,21.21,21.45,20.68,21.26,21.31,20.77,20.28,20.04,20.5,21.63,21.58,21.93,21.04,21.42,22.08,20.09,21.54,21.11,21.06,21.01,21.57,21.5,22.23,22.39,21.99,22.76,22.51,3.65,9.14,12.59,12.0,12.59,24.94,31.36,16.49,20.0,22.97,24.7,22.94,25.02,18.84,23.06,22.02,24.26,29.35,30.32,29.36,28.61,32.57,35.57,32.7,35.6,35.94,34.5,43.57,42.75,42.39,45.61,48.49,44.04,46.87,44.38,43.91,40.41,36.89,32.63,32.39,39.11,44.5,44.1,45.71,40.98,47.25,53.57,47.38,39.87,47.36,51.11,61.04,64.66,55.8,61.5,62.24,65.06,71.68,71.2,451.0,866.0,1149.0,1048.0,957.0,1785.0,1250.0,1236.0,1353.0,1265.0,1270.0,1242.0,1385.0,1108.0,1314.0,1342.0,1400.0,1552.0,1616.0,1600.0,1555.0,1539.0,1684.0,1645.0,1812.0,1811.0,1747.0,2105.0,2064.0,1986.0,2183.0,2337.0,2076.0,2186.0,2146.0,2065.0,1896.0,1776.0,1609.0,1617.0,1908.0,2058.0,2043.0,2084.0,1948.0,2206.0,2427.0,2358.0,1851.0,2244.0,2427.0,2905.0,2998.0,2595.0,2767.0,2780.0,2958.0,3150.0,3164.0
Wheat,Chandigarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4600.0,4700.0,4699.0,5000.0,4500.0,4500.0,5000.0,4696.0,5000.0,
Wheat,Chhattisgarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.98,0.93,1.06,0.97,1.02,0.92,0.93,0.89,1.12,1.11,1.09,1.01,1.03,0.98,1.08,1.15,1.01,1.05,1.1,1.6,1.56,1.33,1.34,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1.04,0.99,1.09,0.82,0.91,0.92,0.99,0.93,1.22,1.27,1.33,1.41,1.34,1.35,1.37,1.6,1.31,1.63,1.15,2.48,1.92,1.9,1.81,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.0,1057.0,1063.0,1024.0,853.0,886.0,1002.0,1059.0,1040.0,1086.0,1144.0,1227.0,1396.0,1304.0,1388.0,1270.0,1391.0,1289.0,1548.0,1050.0,1551.0,1229.0,1427.0,1350.0,1517.0
Wheat,Dadra And Nagar Haveli,Total,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1500.0,1333.0,2000.0,1667.0,1667.0,1667.0,1500.0,2000.0,2000.0,2000.0,1500.0,1000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1500.0,1667.0,1667.0,1667.0,600.0,,2000.0,3000.0,1500.0,1600.0,2000.0,2000.0,2000.0,1833.0,1833.0,1833.0,1833.0,1833.0,1500.0,2231.0,1929.0,2000.0,2000.0,2071.0,2500.0,2300.0,2300.0,2139.0,2400.0,0.0,0.0,,,
Wheat,Daman And Diu,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
